leagueId,tier,number
0632cfdc-ad3d-418c-a2de-e63fe86552de,IRON,55
0633275f-fa32-45d8-bd33-8f338065898f,GOLD,143
06334bb9-dd59-4f25-9070-b0a9f9932cff,BRONZE,126
063a85a5-4eb1-4f36-95bc-cf59f5b2165b,PLATINUM,122
063a9cce-5e5b-4fab-9602-0a22c40170de,BRONZE,54
0641773b-3a33-4fc9-aed9-b9537481ff04,BRONZE,37
0641f448-530f-4684-9ad4-038b0ad23586,IRON,15
06494acb-3076-4cc7-8af4-68dd5bc60e98,GOLD,195
064e1c27-12bc-4935-a151-3cedce19b3b1,SILVER,176
064fd72e-d290-47fb-af26-4f5b0319f467,IRON,23
065f8ff7-efac-4d8f-abdc-d2149448fc00,IRON,23
066451e0-7b0c-43a4-bf59-a9df2dee1e95,GOLD,195
0666fbf7-2f8b-480a-837c-bd3a62f1e15b,SILVER,113
06681caa-fe31-42b1-b991-cf173d3cae54,BRONZE,104
066e7d9e-ddb6-4f9a-8821-d3cf4bd48c82,IRON,25
06729a1e-4c83-4ef8-b9e0-8cf692e64d90,SILVER,102
067883a7-5f80-425b-9627-fe7ef5ac209a,IRON,80
067d328f-fc79-461e-9e2d-2a5b0a015391,BRONZE,74
067ede4b-7561-4e67-a031-35e20aac5c9a,BRONZE,142
0681f2c7-550f-4504-b811-7b5ae6f52354,BRONZE,48
068630d3-114f-4a45-b742-b36735635f79,SILVER,117
0688a475-c38a-4a07-9f4c-796597ecf627,SILVER,176
0688af92-b7e4-43a3-add9-407fc9095b26,PLATINUM,199
068947a8-2fdb-4d78-aa2a-00d74aba2050,BRONZE,75
068bc853-19a6-4f7a-8e1f-175f9adaf35d,BRONZE,50
068d849b-79d2-469d-b031-3127e5104e89,IRON,48
06975a73-1673-412c-a96f-50d9c21681e5,BRONZE,136
069c7568-1970-4db9-8449-f71e759a5f13,IRON,15
069f8a4e-64a6-4354-b959-511fcb332111,IRON,22
06a3d3dc-84bd-4d86-aef3-df791a935235,GOLD,200
06a6dbe8-616c-4620-9ff2-9a7c9187eded,SILVER,173
06a95008-04db-43d4-84f8-ef53a7c070a4,BRONZE,142
06b2a3ea-9512-4b48-9a1c-3117127367a5,BRONZE,110
06b41679-a8ec-4263-a2ac-4e91adf9b70b,BRONZE,163
06b58883-8857-4050-a84a-9fdca9570b80,IRON,21
06bc15eb-7933-457c-bce9-327d20a2c9ed,SILVER,184
06bdb54c-45bf-4cf6-8d57-a4eca3407993,DIAMOND,197
06c19e7e-5a41-437b-b634-78ae3789d704,GOLD,197
06c21c41-d731-4771-935f-0ad31689e9f5,BRONZE,80
06c2f652-c6a6-400e-98bb-827388f26a85,SILVER,185
06c35b4e-4e07-448c-b606-abd616ebf9aa,SILVER,184
